district_id,voucher_area
2707200,minneapolis
2708100,minneapolis
2708190,minneapolis
2710170,minneapolis
2711250,minneapolis
2711370,minneapolis
2711670,minneapolis
2712270,minneapolis
2714220,minneapolis
2714260,minneapolis
2721240,minneapolis
2722920,minneapolis
2722950,minneapolis
2723850,minneapolis
2723910,minneapolis
2725080,minneapolis
2725200,minneapolis
2731750,minneapolis
2731780,minneapolis
2732070,minneapolis
2732430,minneapolis
2733330,minneapolis
2733420,minneapolis
2733540,minneapolis
2741460,minneapolis
2741910,minneapolis
2742160,minneapolis
2742360,minneapolis
2799997,minneapolis
4703180,nashville
4704530,nashville
3603720,nassau
3604410,nassau
3604740,nassau
3606540,nassau
3608010,nassau
3609840,nassau
3609960,nassau
3610050,nassau
3610980,nassau
3611160,nassau
3611550,nassau
3611760,nassau
3612510,nassau
3613290,nassau
3614280,nassau
3614340,nassau
3615480,nassau
3615510,nassau
3615810,nassau
3616830,nassau
3617160,nassau
3617700,nassau
3617730,nassau
3617910,nassau
3618270,nassau
3618630,nassau
3619020,nassau
3619110,nassau
3619500,nassau
3620400,nassau
3620940,nassau
3621120,nassau
3621540,nassau
3621570,nassau
3622290,nassau
3623190,nassau
3623220,nassau
3623580,nassau
3624780,nassau
3625050,nassau
3626370,nassau
3626400,nassau
3626520,nassau
3627300,nassau
3628560,nassau
3629850,nassau
3630660,nassau
3631710,nassau
2200840,new orleans
2201170,new orleans
2201230,new orleans
2201410,new orleans
2201650,new orleans
3611160,new york city
3612510,new york city
3620400,new york city
3620580,new york city
3626520,new york city
0900240,new-haven
0900420,new-haven
0901290,new-haven
0901800,new-haven
0901860,new-haven
0902280,new-haven
0902400,new-haven
0902520,new-haven
0902970,new-haven
0903030,new-haven
0903210,new-haven
0903660,new-haven
0904740,new-haven
0905310,new-haven
0999997,new-haven
0902790,new-haven
0904950,new-haven
2603690,oakland
2605010,oakland
2605850,oakland
2606090,oakland
2606570,oakland
2609900,oakland
2609930,oakland
2614070,oakland
2614280,oakland
2618030,oakland
2618450,oakland
2618990,oakland
2620730,oakland
2621120,oakland
2622290,oakland
2626130,oakland
2629940,oakland
2630090,oakland
2630300,oakland
2632250,oakland
2632310,oakland
2634260,oakland
2634470,oakland
2635160,oakland
2635310,oakland
2635820,oakland
2602670,oakland
2609840,oakland
2614250,oakland
2616320,oakland
2616350,oakland
2625980,oakland
2626190,oakland
2627240,oakland
2628740,oakland
2635190,oakland
3603270,orange-dutchess
3604140,orange-dutchess
3604758,orange-dutchess
3606500,orange-dutchess
3606570,orange-dutchess
3607380,orange-dutchess
3608430,orange-dutchess
3609210,orange-dutchess
3612330,orange-dutchess
3612960,orange-dutchess
3613230,orange-dutchess
3614010,orange-dutchess
3614430,orange-dutchess
3615180,orange-dutchess
3618570,orange-dutchess
3619320,orange-dutchess
3619380,orange-dutchess
3619560,orange-dutchess
3619650,orange-dutchess
3619680,orange-dutchess
3620700,orange-dutchess
3622530,orange-dutchess
3623010,orange-dutchess
3623040,orange-dutchess
3624240,orange-dutchess
3624480,orange-dutchess
3625320,orange-dutchess
3628320,orange-dutchess
3628620,orange-dutchess
3629190,orange-dutchess
3629790,orange-dutchess
3629880,orange-dutchess
3629970,orange-dutchess
3630030,orange-dutchess
3630390,orange-dutchess
4202190,pittsburgh
4202820,pittsburgh
4202850,pittsburgh
4202970,pittsburgh
4203510,pittsburgh
4204140,pittsburgh
4205040,pittsburgh
4205700,pittsburgh
4206810,pittsburgh
4207540,pittsburgh
4209090,pittsburgh
4209960,pittsburgh
4210070,pittsburgh
4210620,pittsburgh
4211400,pittsburgh
4212750,pittsburgh
4214940,pittsburgh
4215720,pittsburgh
4215830,pittsburgh
4216110,pittsburgh
4216500,pittsburgh
4217010,pittsburgh
4217220,pittsburgh
4217770,pittsburgh
4218590,pittsburgh
4219170,pittsburgh
4219350,pittsburgh
4219860,pittsburgh
4220430,pittsburgh
4220580,pittsburgh
4221200,pittsburgh
4222060,pittsburgh
4224570,pittsburgh
4225200,pittsburgh
4225590,pittsburgh
4225680,pittsburgh
3600011,rochester
3602520,rochester
3603660,rochester
3604920,rochester
3605460,rochester
3605580,rochester
3606090,rochester
3606180,rochester
3606330,rochester
3607530,rochester
3608790,rochester
3609690,rochester
3609930,rochester
3610890,rochester
3611740,rochester
3611880,rochester
3611940,rochester
3611970,rochester
3612630,rochester
3614460,rochester
3614610,rochester
3614670,rochester
3614700,rochester
3615390,rochester
3616200,rochester
3616950,rochester
3617640,rochester
3617970,rochester
3618030,rochester
3618540,rochester
3620220,rochester
3620640,rochester
3622380,rochester
3622710,rochester
3622890,rochester
3623160,rochester
3624270,rochester
3624750,rochester
3625170,rochester
3627780,rochester
3629640,rochester
3630330,rochester
3630360,rochester
3631170,rochester
3631440,rochester
0600069,san-diego
0601426,san-diego
0602100,san-diego
0606810,san-diego
0607470,san-diego
0607500,san-diego
0608610,san-diego
0609870,san-diego
0610710,san-diego
0610740,san-diego
0612750,san-diego
0613500,san-diego
0613530,san-diego
0618730,san-diego
0619110,san-diego
0619140,san-diego
0620790,san-diego
0621330,san-diego
0626100,san-diego
0631530,san-diego
0631710,san-diego
0631740,san-diego
0634380,san-diego
0634880,san-diego
0635040,san-diego
0635220,san-diego
0635880,san-diego
0636990,san-diego
0638640,san-diego
0640710,san-diego
0612880,san-diego
0612910,san-diego
0616230,san-diego
0620250,san-diego
0628250,san-diego
0634320,san-diego
0641190,san-diego
0602310,santa-clara
0604800,santa-clara
0607140,santa-clara
0607200,santa-clara
0607230,santa-clara
0610290,santa-clara
0611820,santa-clara
0613140,santa-clara
0614370,santa-clara
0614430,santa-clara
0615180,santa-clara
0620700,santa-clara
0622350,santa-clara
0622650,santa-clara
0622800,santa-clara
0622830,santa-clara
0623130,santa-clara
0624500,santa-clara
0625770,santa-clara
0625830,santa-clara
0626280,santa-clara
0626310,santa-clara
0626400,santa-clara
0627810,santa-clara
0628680,santa-clara
0629610,santa-clara
0630030,santa-clara
0634590,santa-clara
0635430,santa-clara
0635910,santa-clara
0638460,santa-clara
0640320,santa-clara
5307710,seattle
2500541,south shore
2501650,south shore
2502190,south shore
2502520,south shore
2502820,south shore
2503030,south shore
2504200,south shore
2504410,south shore
2504620,south shore
2504800,south shore
2504950,south shore
2505070,south shore
2505790,south shore
2506090,south shore
2506510,south shore
2506540,south shore
2507230,south shore
2507350,south shore
2507770,south shore
2508730,south shore
2509000,south shore
2509030,south shore
2509150,south shore
2509420,south shore
2509690,south shore
2509720,south shore
2510140,south shore
2510170,south shore
2510560,south shore
2510590,south shore
2510620,south shore
2510830,south shore
2511250,south shore
2511460,south shore
2512420,south shore
2512930,south shore
2500013,springfleld-holyoke
2500014,springfleld-holyoke
2501800,springfleld-holyoke
2501890,springfleld-holyoke
2501920,springfleld-holyoke
2502430,springfleld-holyoke
2503660,springfleld-holyoke
2503900,springfleld-holyoke
2504080,springfleld-holyoke
2504500,springfleld-holyoke
2504590,springfleld-holyoke
2505100,springfleld-holyoke
2505400,springfleld-holyoke
2505730,springfleld-holyoke
2505740,springfleld-holyoke
2505940,springfleld-holyoke
2506810,springfleld-holyoke
2506990,springfleld-holyoke
2507050,springfleld-holyoke
2507990,springfleld-holyoke
2508040,springfleld-holyoke
2508530,springfleld-holyoke
2508850,springfleld-holyoke
2509390,springfleld-holyoke
2509900,springfleld-holyoke
2510800,springfleld-holyoke
2510920,springfleld-holyoke
2510950,springfleld-holyoke
2511130,springfleld-holyoke
2511490,springfleld-holyoke
2512510,springfleld-holyoke
2512630,springfleld-holyoke
2512690,springfleld-holyoke
2512990,springfleld-holyoke
3600021,suffolk
3600125,suffolk
3602880,suffolk
3603720,suffolk
3604080,suffolk
3604110,suffolk
3605370,suffolk
3606840,suffolk
3608010,suffolk
3608130,suffolk
3608160,suffolk
3608310,suffolk
3608880,suffolk
3609660,suffolk
3609720,suffolk
3609870,suffolk
3609900,suffolk
3610680,suffolk
3610980,suffolk
3611100,suffolk
3612840,suffolk
3613290,suffolk
3613620,suffolk
3613980,suffolk
3615090,suffolk
3615540,suffolk
3615780,suffolk
3616260,suffolk
3617380,suffolk
3618630,suffolk
3618690,suffolk
3619200,suffolk
3619230,suffolk
3619410,suffolk
3620040,suffolk
3620520,suffolk
3621270,suffolk
3621540,suffolk
3621930,suffolk
3622470,suffolk
3623220,suffolk
3623490,suffolk
3624060,suffolk
3624420,suffolk
3624690,suffolk
3624840,suffolk
3625350,suffolk
3625380,suffolk
3625410,suffolk
3625920,suffolk
3626640,suffolk
3626840,suffolk
3627060,suffolk
3627300,suffolk
3627540,suffolk
3627620,suffolk
3627900,suffolk
3628200,suffolk
3628560,suffolk
3629760,suffolk
3630540,suffolk
3630690,suffolk
3631020,suffolk
3631800,suffolk
3603870,syracuse
3606690,syracuse
3606780,syracuse
3606900,syracuse
3607320,syracuse
3607470,syracuse
3608850,syracuse
3609090,syracuse
3609990,syracuse
3610860,syracuse
3614640,syracuse
3615990,syracuse
3616410,syracuse
3617520,syracuse
3617940,syracuse
3618330,syracuse
3618480,syracuse
3619800,syracuse
3621210,syracuse
3621810,syracuse
3622920,syracuse
3626940,syracuse
3627150,syracuse
3628590,syracuse
3629130,syracuse
3630630,syracuse
3603180,westchester
3605340,westchester
3605640,westchester
3606060,westchester
3606990,westchester
3608580,westchester
3609120,westchester
3610080,westchester
3610200,westchester
3610650,westchester
3612720,westchester
3613740,westchester
3613950,westchester
3614190,westchester
3615450,westchester
3616080,westchester
3616620,westchester
3618240,westchester
3619950,westchester
3620160,westchester
3620490,westchester
3621180,westchester
3622020,westchester
3622680,westchester
3623310,westchester
3623340,westchester
3623460,westchester
3624630,westchester
3625260,westchester
3625290,westchester
3625950,westchester
3627180,westchester
3628650,westchester
3629040,westchester
3629400,westchester
3631260,westchester
3631980,westchester
2502040,worcester
2502100,worcester
2502220,worcester
2502580,worcester
2502715,worcester
2503750,worcester
2504230,worcester
2504980,worcester
2505010,worcester
2505370,worcester
2505500,worcester
2506240,worcester
2506300,worcester
2506330,worcester
2506390,worcester
2506510,worcester
2506780,worcester
2506960,worcester
2507080,worcester
2507590,worcester
2507680,worcester
2507860,worcester
2507890,worcester
2508310,worcester
2508640,worcester
2508790,worcester
2508880,worcester
2508910,worcester
2510770,worcester
2510980,worcester
2511310,worcester
2511400,worcester
2511490,worcester
2511760,worcester
2511850,worcester
2511880,worcester
2512600,worcester
2512660,worcester
2513230,worcester
2513290,worcester
