district_id,pct_black_educ,pct_asian_educ,pct_latinx_educ,pct_native_educ,pct_white_educ
2504650,0,0,0,0,0.9520000000000001
2509150,0,0,0.013000000000000001,0,0.987
2509180,0,0,0,0,0.9690000000000001
2509210,0,0,0,0,1
2509270,0.006,0.01,0.011000000000000001,0,0.973
2509300,0,0,0.024,0,0.976
2509360,0,0.003,0.011000000000000001,0,0.9840000000000001
2509390,0,0,0.09300000000000001,0,0.907
2509420,0,0.006,0.006,0,0.987
2509450,0,0,0.028999999999999998,0,0.9540000000000001
2509540,0,0,0,0,1
2509600,0,0,0,0,1
2509630,0.006999999999999999,0.011000000000000001,0.031,0,0.946
2509690,0,0,0,0,1
2509720,0,0.006999999999999999,0.004,0,0.986
2509780,0,0,0,0,1
2509840,0,0,0,0,1
2500001,0,0,0.015,0,0.985
2512100,0,0,0,0,1
2509870,0.004,0.055,0.012,0,0.922
2509900,0,0.023,0.021,0,0.956
2509930,0.11,0.026000000000000002,0.019,0.005,0.818
2509990,0,0.005,0.006999999999999999,0,0.9840000000000001
2510050,0.015,0.028999999999999998,0.051,0,0.9009999999999999
2510080,0,0,0,0,1
2510140,0,0,0,0,1
2510170,0.012,0,0.043,0,0.9390000000000001
2510200,0,0,0,0,1
2510230,0,0,0.11,0,0.89
2510380,0.035,0.028999999999999998,0.109,0,0.8270000000000001
2510470,0,0,0.021,0,0.9790000000000001
2510500,0.006,0,0.012,0,0.975
2510530,0,0,0,0,1
2510560,0,0.011000000000000001,0,0,0.9890000000000001
2510590,0.006999999999999999,0.006999999999999999,0,0,0.972
2510620,0.004,0.034,0,0,0.955
2510710,0.027999999999999997,0,0.038,0,0.934
2510770,0.008,0.016,0.019,0,0.946
2510800,0,0.08800000000000001,0,0,0.912
2510830,0.01,0,0,0,0.99
2510860,0,0.004,0.011000000000000001,0,0.9840000000000001
2500541,0,0,0.03,0,0.97
2510890,0.026000000000000002,0.018000000000000002,0.092,0,0.857
2510920,0,0.01,0.011000000000000001,0,0.9790000000000001
2510950,0,0,0,0,1
2510980,0,0,0.023,0,0.977
2511010,0.04,0.008,0.124,0,0.8290000000000001
2511040,0,0.015,0.019,0,0.966
2500013,0,0,0.04,0,0.95
2500002,0,0,0,0.011000000000000001,0.9890000000000001
2511130,0.146,0.017,0.12300000000000001,0.001,0.7020000000000001
2511220,0.006,0.017,0.006,0,0.95
2511250,0.027000000000000003,0.012,0.023,0,0.938
2511310,0,0,0,0,1
2511340,0.012,0,0.032,0,0.946
2511370,0,0.055999999999999994,0,0,0.9440000000000001
2511400,0,0,0,0,1
2511430,0.006999999999999999,0,0.021,0,0.972
2511460,0,0.008,0.008,0,0.985
2511490,0.006999999999999999,0,0.004,0,0.9890000000000001
2511520,0.015,0.006999999999999999,0.021,0,0.9470000000000001
2511580,0,0.009000000000000001,0.005,0,0.986
2512570,0,0,0.087,0,0.9129999999999999
2511670,0,0,0.018000000000000002,0,0.982
2511740,0.006,0.013000000000000001,0.006,0,0.975
2511730,0,0,0,0,1
2511760,0,0.012,0.024,0,0.9640000000000001
2500043,0.03,0,0,0,0.97
2511850,0,0.009000000000000001,0,0,0.991
2511880,0,0,0.005,0,0.993
2511910,0,0.006,0.011000000000000001,0,0.983
2511940,0,0,0.115,0,0.885
2511970,0.004,0.008,0.004,0,0.9840000000000001
2512000,0.013000000000000001,0.026000000000000002,0.06,0,0.893
2512030,0.027999999999999997,0,0.013999999999999999,0,0.9590000000000001
2512060,0.022000000000000002,0.001,0.006,0,0.9490000000000001
2512180,0.004,0,0.052000000000000005,0,0.9440000000000001
2512210,0.005,0.032,0.048,0,0.904
2512240,0,0,0.009000000000000001,0,0.991
2512270,0.005,0.027000000000000003,0.022000000000000002,0,0.934
2512300,0,0,0,0,1
2512390,0.013000000000000001,0,0,0,0.987
2512420,0.003,0,0.033,0,0.9640000000000001
2512510,0,0.004,0.018000000000000002,0,0.9740000000000001
2512600,0.006999999999999999,0.037000000000000005,0.019,0,0.934
2512630,0.001,0.003,0.003,0.001,0.992
2512660,0,0.02,0.006999999999999999,0,0.9740000000000001
2512690,0,0,0,0,1
2512750,0.011000000000000001,0.077,0.02,0,0.878
2512780,0,0,0,0,1
2512810,0,0.025,0.005,0,0.955
2512840,0.013000000000000001,0.009000000000000001,0.018000000000000002,0,0.958
2512870,0,0,0,0,1
2512930,0.005,0,0.01,0,0.986
2512990,0,0,0,0,1
2513050,0,0.006999999999999999,0.011000000000000001,0,0.978
2513080,0.015,0,0.03,0,0.94
2513110,0.002,0.036000000000000004,0.011000000000000001,0,0.9440000000000001
2513170,0,0.016,0.008,0,0.977
2513200,0.002,0.009000000000000001,0.017,0.003,0.9690000000000001
2513230,0.025,0.016,0.085,0,0.8690000000000001
2513260,0,0,0,0,1
2513290,0,0,0,0,0.9840000000000001
3602370,0.011,0.011,0,0,0.968
3605040,0,0,0,0,0.877
3602400,0,0,0.049,0,0.951
3602430,0,0,0,0,0.992
3602460,0.093,0.03,0.074,0,0.799
3602520,0,0,0.013,0,0.981
3602550,0,0,0,0.008,0.992
3602580,0,0.012,0,0,0.975
3602670,0,0,0,0,1
3602700,0,0,0.018,0,0.982
3600015,0,0,0.01,0,0.588
3602820,0,0.01,0,0,0.99
3602880,0,0,0.1,0,0.9
3602920,0.011,0,0.007,0,0.953
3602940,0.072,0.013,0.115,0.003,0.77
3602970,0,0.004,0.024,0,0.972
3603000,0,0,0.059,0,0.941
3603030,0,0,0.053,0,0.947
3603180,0.019,0.033,0.044,0,0.904
3603210,0,0.035,0.044,0,0.885
3603240,0,0,0,0,1
3603270,0.013,0.011,0.046,0.001,0.922
3603420,0,0,0.024,0,0.968
3603480,0.003,0,0.006,0,0.868
3616170,0,0,0.009,0,0.991
3600016,0,0.005,0.011,0,0.91
3603630,0,0,0,0,0.783
3603660,0.01,0.025,0.025,0,0.941
3603720,0.013,0.007,0.02,0,0.919
3603810,0,0,0.015,0,0.954
3603840,0.059,0.021,0.037,0.002,0.873
3603870,0.005,0.005,0.01,0,0.976
3603930,0,0.005,0.008,0.003,0.984
3603960,0,0,0,0,0.978
3603990,0,0,0,0.004,0.996
3604050,0.008,0,0.008,0,0.985
3604080,0.041,0.021,0.101,0.002,0.835
3604110,0.004,0,0.011,0,0.985
3604140,0.023,0.012,0.084,0,0.869
3604200,0,0,0,0,1
3619950,0.021,0.009,0.121,0,0.849
3604290,0.006,0,0.017,0,0.977
3604350,0.025,0,0,0,0.975
3604370,0,0,0,0,1
3604410,0.013,0.019,0.032,0,0.936
3619020,0.01,0.023,0.027,0,0.938
3604530,0,0,0,0,0.897
3604620,0.018,0.012,0,0,0.97
3604650,0,0.013,0.013,0,0.975
3604710,0.003,0.006,0.006,0,0.981
3604740,0,0,0.023,0,0.962
3604870,0.025,0.011,0.025,0.004,0.923
3624630,0.025,0.008,0.017,0,0.917
3600012,0,0,0.018,0,0.982
3605010,0,0,0.04,0,0.96
3605220,0,0.03,0,0,0.97
3627960,0,0,0,0.01,0.99
3605280,0.022,0.009,0.2,0.003,0.645
3605310,0.014,0,0.074,0,0.895
3605340,0.026,0.037,0.022,0,0.916
3605370,0.038,0,0.057,0,0.849
3605460,0.02,0.01,0.007,0,0.963
3600005,0,0,0.014,0,0.979
3605580,0.004,0,0.025,0,0.941
3605610,0.018,0,0.018,0,0.965
3605640,0.014,0.024,0.048,0,0.914
3605670,0,0,0.043,0,0.478
3615780,0.017,0.005,0.039,0,0.938
3605520,0.016,0,0.011,0,0.973
3605820,0,0,0,0,1
3605850,0.101,0.011,0.044,0.003,0.833
3605940,0.005,0.012,0,0,0.98
3606060,0.004,0.012,0.012,0,0.971
3606090,0.011,0,0.033,0,0.956
3601087,0,0,0.006,0,0.989
3606160,0.008,0,0.015,0,0.977
3606180,0,0.013,0.013,0,0.963
3606210,0,0,0.012,0,0.988
3606240,0,0.006,0,0,0.994
3600020,0,0.012,0.012,0,0.964
3606300,0.011,0,0.011,0.011,0.834
3606330,0.003,0.009,0,0,0.985
3606360,0,0,0,0,1
3606390,0,0,0.009,0,0.991
3606420,0,0,0,0,0.972
3600124,0,0.012,0,0,0.977
3606470,0,0,0,0,0.786
3606540,0.007,0.02,0.027,0,0.945
3606570,0.003,0.007,0.021,0,0.969
3606630,0.011,0,0.004,0,0.982
3606660,0,0.012,0,0,0.988
3606690,0,0,0.014,0,0.85
3606720,0.008,0,0.023,0,0.969
3606780,0,0,0,0,1
3606840,0.031,0,0.026,0,0.943
3606870,0.072,0.006,0.242,0,0.68
3606900,0.004,0,0.004,0,0.988
3606990,0.022,0.019,0.068,0,0.826
3607050,0,0,0,0,1
3607080,0,0,0,0,1
3607110,0.043,0,0.009,0,0.948
3600018,0,0,0,0,1
3607170,0,0,0,0,0.9
3607230,0.037,0.005,0.016,0,0.942
3607260,0,0,0.013,0,0.978
3607290,0,0.008,0,0,0.992
3600006,0,0,0,0,1
3607380,0,0,0.034,0,0.84
3607470,0,0,0.019,0.009,0.972
3607530,0.003,0.003,0.006,0,0.988
3607560,0,0,0,0,0.869
3607590,0,0.003,0.005,0,0.989
3620340,0.006,0.02,0.032,0,0.941
3607680,0.028,0,0,0,0.972
3607710,0,0,0.031,0,0.938
3607770,0,0,0.009,0,0.868
3607860,0,0.018,0,0,0.982
3607890,0,0,0,0,0.976
3600010,0,0,0.016,0,0.984
3607980,0.006,0,0.023,0,0.962
3608010,0.007,0.007,0.033,0.007,0.947
3608100,0.029,0,0,0,0.971
3608130,0.006,0.004,0.023,0,0.932
3608160,0,0.004,0.011,0,0.975
3608250,0,0.016,0,0,0.984
3608280,0.022,0,0.022,0,0.956
3608310,0.021,0.006,0.122,0,0.846
3608370,0.011,0,0.022,0,0.951
3608400,0.003,0.003,0.008,0,0.982
3608430,0.009,0,0.009,0,0.983
3608460,0.006,0,0.017,0,0.967
3608490,0,0,0,0,0.973
3608580,0.021,0.045,0.041,0.007,0.887
3608610,0,0,0.05,0,0.95
3632010,0.011,0,0.011,0,0.977
3621450,0,0,0,0,0.986
3608790,0,0,0.016,0,0.984
3608880,0.02,0.005,0.045,0,0.93
3608910,0,0,0,0,1
3609030,0,0,0.015,0,0.985
3609060,0,0,0,0,0.946
3608850,0,0,0,0,0.979
3609120,0.03,0.018,0.036,0,0.88
3600001,0,0,0.013,0,0.882
3609210,0,0,0.049,0,0.951
3609240,0,0,0,0,0
3609330,0,0.009,0.012,0,0.979
3609360,0,0.016,0.032,0,0.936
3609390,0.013,0,0.013,0,0.778
3609420,0,0.006,0.042,0.006,0.935
3609540,0.006,0.018,0,0,0.975
3604920,0,0.01,0,0,0.975
3609630,0.009,0.008,0.021,0.003,0.956
3609660,0.011,0,0.049,0,0.94
3609690,0.025,0.007,0.004,0,0.965
3609720,0.006,0.003,0.014,0,0.973
3609840,0.005,0.01,0.021,0,0.963
3609870,0,0,0.016,0,0.984
3609900,0,0,0.065,0,0.935
3627810,0.11,0.023,0.196,0,0.64
3609930,0,0,0,0,1
3609960,0.009,0,0.018,0,0.973
3609990,0.004,0,0.004,0,0.831
3610050,0.005,0,0.022,0,0.718
3610080,0.004,0.007,0.032,0,0.957
3610170,0,0,0.008,0,0.992
3610200,0,0.017,0.029,0,0.92
3610230,0,0,0,0,1
3610260,0,0,0,0,0
3600003,0,0,0.017,0,0.983
3610380,0,0,0,0,1
3610410,0,0,0,0,1
3610500,0.026,0,0.07,0,0.896
3610530,0,0,0,0,1
3610560,0.034,0.006,0.014,0,0.926
3610590,0.01,0.01,0.01,0,0.969
3610620,0.077,0.024,0.076,0,0.82
3610650,0.106,0,0.221,0,0.653
3610680,0.026,0.008,0.026,0,0.865
3600125,0,0,0.042,0,0.95
3616560,0,0,0.005,0.005,0.991
3610860,0,0.015,0,0,0.969
3610890,0.005,0.009,0.007,0.002,0.976
3610920,0,0.009,0,0,0.982
3610950,0.028,0,0.113,0,0.859
3610980,0.01,0.008,0.037,0,0.944
3618330,0.003,0.003,0.012,0.003,0.976
3611070,0,0,0,0,1
3621540,0,0,0,0,1
3611100,0,0,0,0,1
3611160,0,0.009,0.065,0,0.917
3625320,0.013,0.013,0.054,0,0.812
3611190,0,0,0.017,0,0.983
3611250,0.019,0,0,0,0.962
3611280,0,0,0,0,1
3611310,0,0,0,0,0.978
3611370,0,0,0,0,0.971
3611400,0,0.012,0,0,0.988
3611430,0,0,0,0,1
3611460,0,0.034,0.031,0,0.936
3611490,0,0,0,0,1
3611520,0,0,0.006,0,0.994
3611550,0.084,0.01,0.152,0,0.753
3611610,0,0,0.014,0,0.986
3611640,0,0,0,0,1
3611670,0.003,0.008,0.011,0,0.979
3611700,0,0,0.004,0,0.992
3611730,0,0,0,0,1
3611740,0,0.018,0.009,0,0.973
3611760,0,0.007,0.009,0,0.981
3611860,0.048,0,0.143,0,0.762
3611880,0.016,0.014,0.016,0.006,0.949
3611910,0.024,0,0.048,0,0.695
3600017,0,0,0,0,0.97
3611940,0,0,0.01,0,0.979
3611970,0.009,0.005,0.059,0,0.918
3612030,0,0,0.018,0,0.982
3612120,0,0,0,0,1
3604757,0,0,0,0,1
3612180,0.017,0.013,0.095,0,0.872
3612240,0,0,0.005,0,0.98
3602310,0,0,0,0,1
3612270,0,0,0.004,0,0.996
3612300,0,0.008,0.008,0,0.984
3612330,0.03,0.004,0.039,0,0.922
3612360,0,0,0.02,0,0.98
3612390,0,0,0,0.027,0.973
3607020,0.004,0,0.004,0,0.992
3612450,0,0.01,0.01,0,0.971
3612510,0.008,0.053,0.041,0.002,0.894
3612630,0.014,0.002,0.021,0,0.935
3612660,0,0,0.056,0,0.917
3612720,0.192,0.048,0.113,0,0.648
3612750,0,0,0,0,1
3612840,0.016,0,0.025,0,0.959
3612870,0.018,0,0,0,0.982
3612900,0,0,0.024,0,0.976
3612960,0,0,0,0,1
3613020,0,0,0,0,0.985
3613080,0.007,0.002,0.014,0,0.973
3613110,0,0,0,0,1
3613230,0,0.023,0.023,0,0.801
3613290,0.014,0.026,0.032,0.003,0.925
3613350,0,0.004,0,0,0.996
3613380,0,0,0.019,0,0.981
3613440,0,0,0,0,1
3613470,0,0,0,0,1
3613530,0.005,0.033,0.047,0,0.915
3613560,0.028,0,0.028,0,0.944
3613590,0.009,0.013,0.017,0,0.953
3613620,0.015,0.015,0.019,0,0.91
3613710,0,0,0,0,1
3613740,0.011,0.012,0.022,0,0.954
3613770,0,0,0,0,1
3613830,0,0,0.017,0.026,0.957
3613950,0.023,0.035,0.046,0.006,0.884
3613980,0.003,0.003,0.025,0,0.966
3614010,0.034,0.005,0.115,0,0.846
3614130,0.422,0.008,0.174,0,0.328
3614190,0.013,0.024,0.024,0,0.939
3614220,0,0,0,0,1
3614250,0,0,0,0.029,0.971
3614280,0.013,0.07,0.022,0.003,0.89
3614310,0.02,0,0.02,0,0.959
3631710,0,0.013,0.021,0,0.966
3614340,0.002,0.04,0.054,0,0.901
3614400,0,0,0.017,0,0.983
3614430,0.037,0.009,0.037,0,0.909
3614460,0.013,0.008,0.005,0,0.973
3614490,0,0,0.044,0,0.956
3614550,0,0,0,0,0.92
3614580,0,0,0.008,0,0.992
3614610,0,0.011,0.011,0,0.958
3614640,0,0,0.005,0.005,0.989
3614670,0,0,0,0,1
3614700,0,0.011,0.005,0,0.973
3614730,0,0,0,0,1
3614760,0,0.024,0,0,0.976
3614820,0,0,0.009,0,0.983
3614850,0,0,0.007,0,0.993
3614940,0,0.006,0.04,0,0.945
3614970,0,0,0,0,1
3615060,0,0,0,0,1
3615090,0.019,0.012,0.134,0.002,0.832
3615180,0.019,0.025,0.025,0,0.927
3615270,0,0,0,0,1
3615300,0,0.006,0.008,0.006,0.969
3615360,0,0,0,0,0.993
3615450,0.009,0,0.019,0.009,0.962
3615480,0,0,0.056,0,0.932
3615510,0.01,0.01,0.039,0,0.941
3615540,0,0.004,0.026,0,0.887
3615570,0.044,0.027,0.037,0.004,0.875
3615630,0.019,0.005,0.012,0,0.962
3609090,0.015,0.01,0.01,0,0.955
3600007,0,0,0,0,0.022
3615720,0,0,0,0,1
3615810,0.003,0.054,0.012,0,0.931
3615870,0,0,0,0,1
3615900,0.017,0.013,0.02,0,0.95
3615980,0,0,0,0,1
3615990,0,0,0.01,0,0.99
3616080,0.012,0.007,0.039,0,0.942
3616140,0,0,0,0,1
3616200,0,0,0.013,0,0.963
3616230,0.007,0.005,0.007,0.002,0.978
3615210,0.006,0.012,0.006,0,0.977
3616260,0,0,0.011,0,0.93
3616290,0.03,0.008,0.022,0,0.934
3604758,0,0,0,0,1
3616380,0,0,0,0,1
3616440,0.042,0,0.016,0,0.943
3616410,0,0,0,0.124,0.876
3616470,0,0,0,0,1
3616500,0,0,0,0,0.123
3616530,0,0,0,0,1
3616620,0.012,0.002,0.032,0,0.918
3616680,0.002,0,0.008,0.002,0.987
3616710,0,0,0,0.009,0.991
3616740,0.009,0.005,0.023,0,0.955
3616800,0,0.03,0.03,0,0.909
3616830,0.013,0,0.066,0,0.883
3616950,0,0.009,0,0,0.991
3617130,0,0,0.013,0,0.987
3617160,0.003,0.011,0.019,0.002,0.962
3617190,0,0,0,0,0.993
3617220,0.024,0.006,0.056,0.009,0.899
3617380,0.005,0.003,0.028,0,0.963
3617430,0,0,0,0,1
3617460,0,0,0.01,0,0.99
3617520,0.005,0.008,0.012,0,0.971
3617580,0,0,0.017,0,0.923
3617640,0,0.008,0,0,0.992
3617670,0.017,0,0.008,0.003,0.972
3617700,0,0,0.031,0.004,0.964
3617730,0.024,0.015,0.117,0,0.84
3617760,0,0,0,0,1
3619230,0.031,0.01,0.052,0.001,0.892
3617820,0.008,0,0,0,0.979
3617880,0,0,0,0,1
3617910,0.004,0,0.018,0.004,0.957
3617940,0,0,0.028,0,0.972
3617970,0,0,0,0,0.671
3618030,0.041,0.009,0.023,0,0.927
3618080,0,0,0,0,1
3618090,0,0,0,0,1
3618120,0.003,0,0.012,0,0.945
3618150,0.005,0,0,0,0.989
3618180,0,0,0,0.005,0.995
3618210,0.062,0.006,0.03,0,0.896
3618240,0.02,0.029,0.081,0,0.853
3624270,0,0,0.012,0,0.988
3618270,0.017,0.057,0.044,0,0.882
3618450,0,0.013,0,0,0.987
3618480,0,0.008,0,0.008,0.985
3618510,0,0,0.023,0,0.977
3618540,0.013,0,0.019,0,0.968
3618570,0.011,0.006,0.017,0,0.966
3618600,0.005,0,0.005,0,0.989
3618630,0.007,0.005,0.043,0,0.944
3618660,0,0.005,0,0.026,0.933
3600021,0.008,0,0.012,0,0.98
3618750,0.013,0,0.013,0,0.961
3618840,0,0,0,0,0.73
3618900,0,0,0,0,1
3618960,0.008,0,0,0.008,0.985
3618990,0.037,0,0,0,0.963
3619110,0.007,0.007,0.033,0,0.954
3619170,0.005,0,0.005,0.005,0.978
3619200,0.003,0,0.03,0,0.872
3619260,0,0.014,0.028,0,0.957
3619320,0.054,0.011,0.124,0,0.807
3619350,0,0.024,0,0,0.619
3619380,0,0.015,0.045,0,0.596
3619410,0,0,0.013,0,0.987
3619500,0.008,0.004,0.073,0,0.915
3619530,0.042,0,0,0,0.875
