district_id,theils_H_race,theils_H_frl,theils_race_cat,theils_frl_cat
0601860,0.010461027944292246,0.017067643864100382,low,low
5600730,0.03398898208948214,0.05812615825030612,low,mid-low
4807680,0.025647926691894078,0.022641335972797962,low,low
2702930,0.0178158074094101,0.016275439461639066,low,low
2902970,0.032180335469983924,0.0032271249100426598,low,low
5500120,0.052814571752386276,0.005926627334778851,mid-low,low
5100090,0.08587342193151265,0.11613830723744525,mid-low,mid-low
1703270,0,0,low,low
1900031,0,0,low,low
4202100,0.042296084087574855,0.24078449553619413,low,mid-high
2702970,0.013936263031047108,0.019030541675615017,low,low
3001860,0.03227601571196781,0.002281309126124681,low,low
0100005,0.005573997805220166,0.015843683407459192,low,low
1903270,0.011022607436369711,0.001118066839702412,low,low
4002580,0,0,low,low
3602520,0.006000755374015261,0.009813801315644879,low,low
3500060,0.12697368456127386,0.5828980130866529,mid-low,high
5001770,0,0,low,low
1903300,0.0351102104132359,0.013417818783315938,low,low
4600028,0.012351205062699653,0.006908056017642119,low,low
4700060,0.004711565005427444,0.011840323290819767,low,low
2602160,0.015015864725700366,0.002303978043008417,low,low
2800390,0.1001018012497317,0.005020009753405507,mid-low,low
3602550,0.028073427277986746,0.001481206893187869,low,low
1900032,0,0,low,low
1703300,0.01685719544205899,1.7926398537755612e-4,low,low
2703030,0.015362012900484697,2.1692080100507643e-4,low,low
3017460,0,0,low,low
4807710,0.12403070440983689,0.015714316940267984,mid-low,low
4807780,0.010314067455584526,0.02000731806733853,low,low
0200010,0.356717720534148,NA,high,NA
0200007,0.11836966389192678,NA,mid-low,NA
4002670,0.00671261965643064,5.640919709310806e-4,low,low
3801760,0.01279872237792862,3.3770819736964073e-7,low,low
3602580,0.028895219067680257,0.002832177627510478,low,low
0100030,0.0034165859046965115,0.007579572473311347,low,low
3700090,0.04569520021844544,0.05985197656290643,low,mid-low
3904590,0.014043589753668182,0,low,low
2302280,0,0,low,low
0601890,0,0,low,low
3602670,0.037742853626338696,4.734766072809311e-8,low,low
5100120,0.060180825870609626,0.13402354816211853,mid-low,mid-low
1800120,0.008858039624161656,0.005591564803600316,low,low
2703060,0.02324526789221781,0.015874309775617337,low,low
3400690,0.006776045399407276,0.009458130517790066,low,low
3602700,0.009994296904721789,6.045561837596685e-4,low,low
5500150,0.009049794106208877,0.003785125308253463,low,low
1903360,0.025427514937388214,0.004107725865323098,low,low
2602190,0.02426772195891379,0.011245715495256015,low,low
0400600,0.047677040494932564,0.2928830697145034,low,high
0600153,0.06252069574099892,0.02724942676112165,mid-low,low
4807800,0.029741210505230084,0.02573381628727893,low,low
4807830,0.06688419254286636,0.022451303504330014,mid-low,low
4002720,0.04995661761872271,0.005406722742747979,low,low
4202130,0.0076359427603102615,0.07972610044053284,low,mid-low
0601950,0.10950918778229633,0.1166393998674245,mid-low,mid-low
1903390,0.02647595460888872,0.007942745865685824,low,low
3400720,0.0072015656069784,0.0020059435773486585,low,low
2602220,0.01730935586601507,0.038539228373633105,low,low
2400030,0.05362798095596926,0.03345738544935111,mid-low,low
3600015,0.008049236603842807,0.001433069613843406,low,low
3700120,0.030960336530354574,0.037155099177188566,low,low
5100152,0.030674426467239394,0.06691393470438947,low,mid-low
4202190,0.0053331081162542905,8.949502876809585e-7,low,low
4202310,0.011768308392001344,0.01424706015213745,low,low
4002760,0.0014577094702020535,0.006834944481294623,low,low
3102880,0.055706093177872465,0.021461763872747737,mid-low,low
2100070,0.009520406420861025,0.003305896260777525,low,low
3904575,0.017716480718704707,0.0026093446901582205,low,low
4807890,0.03828144226383449,0.06137387693463385,low,mid-low
2200060,0.07402660420753863,0.02056721776598079,mid-low,low
2602520,0.012881704728716794,0.009979616309553331,low,low
4002790,0,0,low,low
1703420,0,0,low,low
4500750,0.012229547611247055,0,low,low
1703450,0,0,low,low
3400750,0.004615378433261338,0.013495658980156871,low,low
2602550,0.00247816696366035,0.003443186071442719,low,low
3301380,0.012531651746536598,0.026782580054278346,low,low
0601980,0,0,low,low
4202280,0.015194568660726463,0.17520900891577762,low,mid-high
3904349,0.009874603274021227,0.033829499137239816,low,low
3102910,0.006267419713260663,0.006708176711253515,low,low
3400810,0,0,low,low
5500210,0.01724174757462714,3.3643514186002096e-4,low,low
3100080,0.009961344510766973,0.0016518225854846049,low,low
2602640,0.028413830314434414,0.041792936203596684,low,low
5500180,0.011803094477526293,2.2310964820530688e-5,low,low
0502250,0.006827710838692969,0.003326294793321695,low,low
5300090,0,0,low,low
5500240,0.021895824648450933,0.008521186915766442,low,low
2602670,0.01238023360951793,0.0015691317780557215,low,low
0602010,0.0044367969125087324,8.813248035311359e-4,low,low
