district_id,school,enroll_d,frl_enroll_d,pct_frl
0400720,1,195,157,0.805
0400745,1,1205,169,0.14
0400748,1,167,80,0.479
0400751,1,112,103,0.92
0400754,1,450,418,0.929
0400756,1,167,144,0.862
0400763,1,469,143,0.305
0400764,1,412,115,0.279
0400766,1,600,420,0.7
0400768,1,62,50,0.806
0400769,1,517,325,0.629
0400770,1,304,31,0.102
0400774,1,450,165,0.367
0400776,1,383,367,0.958
0400778,1,524,152,0.29
0400780,1,457,315,0.689
0400781,1,709,222,0.313
0400783,1,362,50,0.138
0400785,1,237,203,0.857
0400786,1,283,101,0.357
0400787,1,83,69,0.831
0400788,1,115,34,0.296
0400789,1,330,138,0.418
0400790,5,3072,1056,0.344
0400792,1,198,165,0.833
0400793,1,544,106,0.195
0400796,1,97,39,0.402
0400797,2,727,294,0.404
0400798,1,393,107,0.272
0400799,1,174,44,0.253
0400801,1,223,182,0.816
0400802,1,250,165,0.66
0400803,2,749,150,0.2
0400805,2,642,50,0.078
0400807,1,155,28,0.181
0400810,1,127,32,0.252
0400814,1,74,44,0.595
0400815,1,100,78,0.78
0400817,1,35,32,0.914
0400821,1,154,149,0.968
0400822,1,224,47,0.21
0400823,1,432,62,0.144
0400824,1,799,150,0.188
0400840,1,271,197,0.727
0400842,1,1339,131,0.098
0400845,1,413,66,0.16
0400846,1,262,203,0.775
0400847,1,1338,175,0.131
0400849,1,164,85,0.518
0400852,1,206,46,0.223
0400853,1,347,266,0.767
0400855,1,1194,89,0.075
0400858,1,329,59,0.179
0400863,2,812,251,0.309
0400864,1,513,99,0.193
0400870,1,28,23,0.821
0400871,1,1024,246,0.24
0400872,1,44,16,0.364
0400875,1,899,210,0.234
0400876,1,171,100,0.585
0400877,2,975,368,0.377
0400880,1,248,166,0.669
0400882,1,66,39,0.591
0400885,2,244,50,0.205
0400887,3,1030,369,0.358
0400890,1,398,109,0.274
0400891,6,5724,1742,0.304
0400892,1,1316,261,0.198
0400893,1,163,153,0.939
0400894,1,130,36,0.277
0400895,1,440,146,0.332
0400899,1,1163,64,0.055
0400904,1,847,184,0.217
0400907,1,46,43,0.935
0400909,1,475,70,0.147
0400910,3,285,219,0.768
0400912,1,179,48,0.268
0400913,2,396,92,0.232
0400914,1,78,39,0.5
0400915,1,211,81,0.384
0400916,1,400,137,0.342
0400924,1,532,138,0.259
0400927,1,1327,74,0.056
0400929,1,328,69,0.21
0400933,1,1936,174,0.09
0400934,1,289,128,0.443
0400939,1,67,36,0.537
0400940,1,1125,347,0.308
0400942,1,320,262,0.819
0400945,1,210,191,0.91
0400946,1,180,41,0.228
0400948,1,1187,203,0.171
0400951,1,890,54,0.061
0400952,1,260,60,0.231
0400953,1,780,179,0.229
0400954,1,902,156,0.173
0400955,1,329,59,0.179
0400956,1,52,21,0.404
0400959,1,1339,300,0.224
0400960,9,5799,1749,0.302
0400961,1,430,79,0.184
0400962,1,1064,171,0.161
0400964,1,532,473,0.889
0400966,1,495,60,0.121
0400968,1,355,305,0.859
0400975,1,102,41,0.402
0400976,1,31,9,0.29
0400978,1,248,121,0.488
0400987,1,166,33,0.199
0400989,1,57,16,0.281
0400991,1,592,118,0.199
0400993,1,56,41,0.732
0400995,1,74,24,0.324
0400996,1,1169,100,0.086
0400997,1,544,112,0.206
0400998,1,249,36,0.145
0401000,2,434,64,0.147
0401002,1,121,58,0.479
0401003,1,332,98,0.295
0401005,1,115,12,0.104
0401006,1,438,66,0.151
0401007,1,335,70,0.209
0401008,1,291,87,0.299
0401050,5,2201,2044,0.929
0401080,1,324,184,0.568
0401160,1,136,108,0.794
0401180,3,634,258,0.407
0401260,1,99,13,0.131
0401290,1,50,35,0.7
0401330,2,59,19,0.322
0401380,8,5652,1624,0.287
0401410,3,4958,798,0.161
0401460,8,4823,1389,0.288
0401500,6,2382,1773,0.744
0401600,4,1555,410,0.264
0401650,1,142,99,0.697
0401680,21,14258,5350,0.375
0401710,13,NA,3376,NA
0401740,2,3643,872,0.239
0401760,7,5102,300,0.059
0401810,1,121,118,0.975
0401870,43,43098,5037,0.117
