district_id,school_id,school_name,school_type,school_level,enroll21_nces
0100197,010019702432,ACCELERATION DAY AND EVENING ACADEMY,1-Regular school,High,331
0200004,020000400769,ACCELUS CORRESPONDENCE,1-Regular school,High,0
1701426,170142606424,ACE AMANDLA CHARTER SCHOOL,1-Regular school,High,171
0601561,060156113023,ACE CHARTER HIGH,1-Regular school,High,430
3500060,350006001074,ACE LEADERSHIP HIGH SCHOOL,1-Regular school,High,249
1709930,170993006467,ACERO CHTR NETRK -  MAJOR GARCIA,1-Regular school,High,639
1709930,170993006483,ACERO CHTR SCH NETWRK- VICTORIA,1-Regular school,High,514
5102640,510264002344,ACHIEVABLE DREAM MIDDLE/HIGH,1-Regular school,High,513
3901362,390136205524,ACHIEVE CAREER PREPARATORY ACADEMY,1-Regular school,High,105
0691002,069100214213,ACHIEVE CHARTER HIGH,1-Regular school,High,0
4829670,482967011859,ACHIEVE EARLY COLLEGE H S,1-Regular school,High,444
1812810,181281002516,ACHIEVE VIRTUAL EDUCATION ACADEMY,1-Regular school,High,338
4200128,420012800843,ACHIEVEMENT HOUSE CS,1-Regular school,High,928
3901602,390160205984,ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,1-Regular school,High,169
4002370,400237000002,ACHILLE HS,1-Regular school,High,78
0500073,050007300002,ACORN HIGH SCHOOL,1-Regular school,High,262
2636630,263663008476,ACTECH HIGH SCHOOL,1-Regular school,High,465
2501710,250171000012,ACTON-BOXBOROUGH REGIONAL HIGH,1-Regular school,High,1751
2600006,260000603854,AD JOHNSTON JRSR HIGH SCHOOL,1-Regular school,High,190
3904518,390451802113,ADA HIGH SCHOOL,1-Regular school,High,403
4002430,400243000003,ADA HS,1-Regular school,High,498
2700126,270012600051,ADA-BORUP SECONDARY,1-Regular school,High,362
2922980,292298001315,ADAIR CO. HIGH,1-Regular school,High,111
2905790,290579000125,ADAIR CO. HIGH,1-Regular school,High,72
2100030,210003000001,ADAIR COUNTY HIGH SCHOOL,1-Regular school,High,791
4002460,400246000009,ADAIR HS,1-Regular school,High,252
1300330,130033002352,ADAIRSVILLE HIGH SCHOOL,1-Regular school,High,1026
1800060,180006000007,ADAMS CENTRAL HIGH SCHOOL,1-Regular school,High,370
3102770,310277000003,ADAMS CENTRAL JR-SR HIGH SCH,1-Regular school,High,421
0801950,080195000010,ADAMS CITY HIGH SCHOOL,1-Regular school,High,1656
1810290,181029001662,ADAMS HIGH SCHOOL,1-Regular school,High,1949
5500060,550006000005,ADAMS-FRIENDSHIP HIGH,1-Regular school,High,434
4702880,470288000998,ADAMSVILLE HIGH SCHOOL,1-Regular school,High,524
0804800,080480006587,ADDENBROOKE CLASSICAL ACADEMY,1-Regular school,High,437
0103580,010358001356,ADDISON HIGH SCHOOL,1-Regular school,High,280
2601920,260192003923,ADDISON HIGH SCHOOL,1-Regular school,High,250
3602370,360237000007,ADDISON MIDDLE/HIGH SCHOOL,1-Regular school,High,546
1713940,171394001737,ADDISON TRAIL HIGH SCHOOL,1-Regular school,High,1950
0636972,063697212990,ADELANTO HIGH,1-Regular school,High,1927
3904949,390494903611,ADENA HIGH SCHOOL,1-Regular school,High,339
3605040,360504000241,ADIRONDACK HIGH SCHOOL,1-Regular school,High,350
1732580,173258003385,ADLAI E STEVENSON HIGH SCHOOL,1-Regular school,High,4315
2634470,263447007009,ADLAI STEVENSON HIGH SCHOOL,1-Regular school,High,1904
