district_id,dist_name,fte_total,pct_black_educ,pct_asian_educ,pct_latinx_educ,pct_native_educ,pct_hawpi_educ,pct_two_plus_educ,pct_white_educ,pct_female_educ,pct_male_educ,pct_bipoc_educ
2504620,Easton,230.1,0,0.013000000000000001,0.028999999999999998,0,0,0.004,0.9540000000000001,0.723,0.27699999999999997,0.04599999999999993
2509090,Edgartown,39.9,0,0,0.05,0,0,0,0.95,0.7859999999999999,0.214,0.050000000000000044
2500054,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),33.3,0.39799999999999996,0.03,0.083,0,0,0,0.489,0.569,0.431,0.511
2504710,Erving,12,0,0,0,0,0,0,1,0.833,0.16699999999999998,0
2504770,Everett,332.5,0.034,0.016,0.03,0,0,0.003,0.9159999999999999,0.7070000000000001,0.293,0.08400000000000007
2500075,Excel Academy Charter (District),105.8,0.111,0.047,0.23600000000000002,0.005,0,0.021,0.58,0.6629999999999999,0.327,0.42000000000000004
2504800,Fairhaven,135,0,0,0.006,0,0,0,0.9940000000000001,0.731,0.26899999999999996,0.005999999999999894
2504830,Fall River,657.2,0.025,0.006,0.035,0,0.001,0.012,0.92,0.748,0.25,0.07999999999999996
2504860,Falmouth,231.9,0.004,0.015,0.022000000000000002,0.004,0,0.012,0.943,0.802,0.198,0.05700000000000005
2513321,Farmington River Reg,12.2,0,0,0.049,0,0,0,0.951,0.705,0.295,0.049000000000000044
2504890,Fitchburg,350.7,0.037000000000000005,0.009000000000000001,0.071,0,0,0.003,0.88,0.742,0.258,0.12
2504920,Florida,15.5,0,0,0,0,0,0,1,0.8059999999999999,0.19399999999999998,0
2500076,Four Rivers Charter Public (District),16.5,0,0,0.121,0,0,0,0.879,0.7,0.3,0.121
2504950,Foxborough,171.1,0.004,0.018000000000000002,0,0,0,0,0.9790000000000001,0.775,0.225,0.020999999999999908
2500052,Foxborough Regional Charter (District),99.2,0.067,0.01,0.10800000000000001,0,0.01,0,0.805,0.69,0.31,0.19499999999999995
2504980,Framingham,542.4,0.016,0.012,0.159,0.002,0,0,0.8109999999999999,0.797,0.203,0.18900000000000006
2500038,Francis W. Parker Charter Essential (District),34.5,0.028999999999999998,0,0.122,0,0,0,0.8490000000000001,0.634,0.366,0.1509999999999999
2505010,Franklin,297.8,0.005,0.006999999999999999,0.003,0,0,0,0.985,0.779,0.221,0.015000000000000013
2505020,Franklin County Regional Vocational Technical,53.5,0,0,0.009000000000000001,0,0,0.019,0.972,0.35700000000000004,0.643,0.028000000000000025
2505070,Freetown-Lakeville,169.6,0.005,0,0.016,0,0,0,0.9790000000000001,0.7709999999999999,0.22899999999999998,0.020999999999999908
2505100,Frontier,50.2,0,0,0,0.02,0,0,0.98,0.57,0.43,0.020000000000000018
2505130,Gardner,116.9,0,0.016,0.023,0,0,0.006,0.955,0.659,0.341,0.04500000000000004
2505160,Gateway,66.6,0,0.015,0,0,0.015,0.03,0.94,0.75,0.25,0.06000000000000005
2505220,Georgetown,59.6,0,0,0.017,0,0.01,0,0.973,0.64,0.36,0.027000000000000024
2505270,Gill-Montague,77.8,0.013000000000000001,0,0.026000000000000002,0,0,0.013000000000000001,0.9490000000000001,0.848,0.152,0.050999999999999934
2500519,Global Learning Charter Public (District),41.8,0.048,0.024,0.12,0,0,0,0.8079999999999999,0.612,0.38799999999999996,0.19200000000000006
2505280,Gloucester,204.4,0,0.005,0.006999999999999999,0,0,0,0.9890000000000001,0.747,0.253,0.010999999999999899
2505340,Gosnold,0,0,0,0,0,0,0,0,0,0,1
2505370,Grafton,190.4,0,0.018000000000000002,0.005,0,0,0.009000000000000001,0.968,0.8009999999999999,0.19899999999999998,0.03200000000000003
2505400,Granby,45,0,0.022000000000000002,0,0,0,0,0.978,0.728,0.272,0.02200000000000002
2500551,Greater Commonwealth Virtual District,2.7,0,0,0,0,0,0,1,0.8740000000000001,0.126,0
2505485,Greater Fall River Regional Vocational Technical,134.6,0.022000000000000002,0,0.006999999999999999,0,0,0,0.97,0.37799999999999995,0.622,0.030000000000000027
2505470,Greater Lawrence Regional Vocational Technical,123.6,0.016,0.008,0.121,0.008,0,0.015,0.833,0.523,0.47700000000000004,0.16700000000000004
2505480,Greater Lowell Regional Vocational Technical,193.3,0.013000000000000001,0.024,0.028999999999999998,0.005,0,0,0.929,0.54,0.46,0.07099999999999995
2508440,Greater New Bedford Regional Vocational Technical,162.5,0.034,0.006,0.031,0.012,0,0,0.917,0.47100000000000003,0.529,0.08299999999999996
2505490,Greenfield,110.4,0,0.018000000000000002,0.036000000000000004,0,0.009000000000000001,0,0.937,0.8220000000000001,0.17800000000000002,0.06299999999999994
2505500,Groton-Dunstable,140.7,0,0,0,0.006999999999999999,0,0.006999999999999999,0.986,0.757,0.243,0.014000000000000012
2505580,Hadley,42,0.048,0.048,0,0,0,0,0.905,0.738,0.262,0.09499999999999997
2505610,Halifax,34.6,0,0,0,0,0,0,1,0.877,0.12300000000000001,0
2505670,Hamilton-Wenham,115.1,0,0.026000000000000002,0.01,0,0,0.021,0.943,0.7809999999999999,0.21899999999999997,0.05700000000000005
2500522,Hampden Charter School of Science East (District),41.5,0.024,0.07200000000000001,0.024,0,0,0,0.88,0.6990000000000001,0.301,0.12
2505730,Hampden-Wilbraham,164.5,0,0,0.011000000000000001,0,0,0,0.9890000000000001,0.765,0.235,0.010999999999999899
2505740,Hampshire,61.8,0,0,0,0,0,0,1,0.606,0.39399999999999996,0
2505760,Hancock,7.8,0,0,0,0,0,0,1,0.9740000000000001,0.026000000000000002,0
2505790,Hanover,163.1,0.006,0,0.018000000000000002,0.006,0,0,0.9690000000000001,0.762,0.23800000000000002,0.030999999999999917
2505880,Harvard,84.3,0,0.024,0.024,0,0,0,0.953,0.748,0.252,0.04700000000000004
2505940,Hatfield,39.5,0,0,0,0,0,0.025,0.975,0.7440000000000001,0.256,0.025000000000000022
2505970,Haverhill,496.3,0.01,0.013999999999999999,0.034,0.002,0.002,0.002,0.9359999999999999,0.74,0.26,0.06400000000000006
2506000,Hawlemont,9,0,0,0,0,0,0,1,0.867,0.133,0
2500077,Helen Y. Davis Leadership Academy Charter Public (District),11.3,0.442,0.177,0,0,0,0,0.381,0.602,0.39799999999999996,0.619
2500083,Hill View Montessori Charter Public (District),18.7,0,0,0.08900000000000001,0,0,0,0.9109999999999999,0.903,0.09699999999999999,0.08900000000000008
2500031,Hilltown Cooperative Charter Public (District),20.3,0,0,0.03,0,0,0,0.97,0.675,0.325,0.030000000000000027
2506090,Hingham,249.3,0.004,0.008,0.012,0,0,0.004,0.972,0.7659999999999999,0.23399999999999999,0.028000000000000025
2506150,Holbrook,65.6,0,0,0.015,0,0,0.006,0.9790000000000001,0.774,0.226,0.020999999999999908
2506210,Holland,14.1,0,0,0,0,0,0,1,0.8590000000000001,0.141,0
2506240,Holliston,171.2,0.003,0,0.037000000000000005,0,0.006,0.023,0.93,0.764,0.23600000000000002,0.06999999999999995
2506270,Holyoke,301.3,0.04,0.013000000000000001,0.23199999999999998,0.003,0,0,0.7120000000000001,0.722,0.275,0.2879999999999999
2500087,Holyoke Community Charter (District),35,0,0,0.271,0,0,0,0.7290000000000001,0.6859999999999999,0.314,0.2709999999999999
2501780,Hoosac Valley Regional,80.6,0,0,0,0,0,0,1,0.708,0.292,0
2506300,Hopedale,64.3,0,0,0.031,0,0,0,0.9690000000000001,0.769,0.231,0.030999999999999917
2506330,Hopkinton,247.5,0.006999999999999999,0.031,0.024,0,0,0,0.938,0.782,0.218,0.062000000000000055
2506390,Hudson,164.6,0.015,0.012,0.035,0,0,0,0.937,0.809,0.191,0.06299999999999994
2506420,Hull,61.8,0,0,0,0,0,0,1,0.631,0.369,0
2500025,Innovation Academy Charter (District),57.5,0.022000000000000002,0.021,0.11699999999999999,0,0,0.021,0.8190000000000001,0.649,0.33399999999999996,0.18099999999999994
2506480,Ipswich,137.5,0,0,0.023,0,0,0,0.977,0.7709999999999999,0.22899999999999998,0.02300000000000002
2500537,KIPP Academy Boston Charter School (District),28,0.48200000000000004,0,0.107,0,0,0.036000000000000004,0.375,0.804,0.196,0.625
2500082,KIPP Academy Lynn Charter (District),98.6,0.242,0.076,0.161,0.01,0,0.046,0.466,0.643,0.34700000000000003,0.534
2506510,King Philip,136.3,0,0.006999999999999999,0.022000000000000002,0,0,0.006999999999999999,0.963,0.6829999999999999,0.317,0.03700000000000003
2506540,Kingston,69.4,0,0,0,0,0,0,1,0.878,0.122,0
2506660,Lawrence,821.2,0.036000000000000004,0.005,0.18600000000000003,0.005,0,0.002,0.7659999999999999,0.7290000000000001,0.27,0.2340000000000001
