district_id,district,high_schools,hs_with_ap,pct_hs_with_ap,d_ap_enroll,d_ap_enroll_latinx,d_ap_enroll_native,d_ap_enroll_asian,d_ap_enroll_hawpi,d_ap_enroll_black,d_ap_enroll_white,d_ap_enroll_twoplus,d_hs_enroll,d_hs_enroll_latinx,d_hs_enroll_native,d_hs_enroll_asian,d_hs_enroll_hawpi,d_hs_enroll_black,d_hs_enroll_white,d_hs_enroll_twoplus,pct_ap_enroll_d,pct_latinx_ap_enroll_d,pct_native_ap_enroll_d,pct_asian_ap_enroll_d,pct_hawpi_ap_enroll_d,pct_black_ap_enroll_d,pct_white_ap_enroll_d,pct_twoplus_ap_enroll_d,schools,schools_with_oos,pct_oos_d,pct_latinx_oos_d,pct_native_oos_d,pct_asian_oos_d,pct_hawpi_oos_d,pct_black_oos_d,pct_white_oos_d,pct_twoplus_oos_d
0500043,Mountain Home School District,1,1,1,275,0,2,9,2,0,262,0,1588,77,10,10,12,8,1417,57,0.17,0,0.2,0.9,0.17,0,0.18,0,5,5,0.04,0.01,0.06,0,0,0,0.05,0.05
0500044,Magnolia School District,1,1,1,156,10,0,4,0,35,102,5,786,47,1,8,0,368,314,26,0.2,0.21,0,0.5,NA,0.1,0.32,0.19,4,4,0.02,0.01,0,0,NA,0.03,0.01,0.02
0500045,Rivercrest School District #57,1,1,1,33,0,0,0,0,6,25,2,522,28,1,1,0,156,335,4,0.06,0,0,0,NA,0.04,0.07,0.5,2,2,0.04,0.01,0,0,NA,0.08,0.03,0.03
0500046,Manila School District,1,1,1,35,3,0,0,0,0,32,0,493,22,0,0,0,0,467,2,0.07,0.14,NA,NA,NA,NA,0.07,0,2,2,0,0,NA,NA,0,0,0,0
0500047,Trumann School District,1,1,1,60,2,0,0,0,5,53,0,434,27,0,0,0,70,344,3,0.14,0.07,NA,NA,NA,0.07,0.15,0,3,3,0.08,0.12,0,0,NA,0.06,0.07,0.05
0500048,East Poinsett Co. School Dist.,1,1,1,44,2,0,0,0,2,40,0,289,21,0,0,0,42,217,15,0.15,0.1,NA,NA,NA,0.05,0.18,0,3,3,0.01,0,NA,NA,NA,0,0.01,0.03
0500049,Dequeen School District,2,2,1,54,23,0,0,0,7,22,2,839,548,6,9,22,18,223,15,0.06,0.04,0,0,0,0.39,0.1,0.13,5,5,0.07,0.05,0,0,0.15,0.03,0.1,0.04
0500051,Palestine-Wheatley Sch. Dist.,1,1,1,0,0,0,0,0,0,0,0,357,8,0,0,0,52,304,0,0,0,NA,NA,NA,0,0,NA,2,2,0.02,0,0,0,NA,0.03,0.02,NA
0500065,Lafayette County School District,1,1,1,39,0,0,0,0,20,15,4,229,5,0,0,0,150,86,6,0.17,0,NA,NA,NA,0.13,0.17,0.67,2,2,0.02,0,NA,NA,NA,0.03,0.02,0
0500067,Cleveland County School Dist.,1,1,1,46,1,0,0,0,7,34,4,357,7,0,0,0,94,255,8,0.13,0.14,NA,NA,NA,0.07,0.13,0.5,2,2,0.05,0,0,NA,NA,0.09,0.04,0.16
0500068,Emerson-Taylor School District,3,3,1,3,0,0,0,0,0,3,0,478,17,1,0,0,86,368,9,0.01,0,0,NA,NA,0,0.01,0,6,6,0.01,0,0,0,NA,0.03,0,0.24
0500070,Cedar Ridge School District,1,1,1,1,0,0,0,0,0,1,0,409,27,3,0,0,8,371,2,0,0,0,NA,NA,0,0,0,2,2,0.04,0.06,0,0,NA,0.17,0.03,0
0500071,Hillcrest School District,1,1,1,3,0,0,0,0,0,3,0,191,3,0,0,0,0,186,2,0.02,0,NA,NA,NA,NA,0.02,0,2,2,0.03,0,NA,NA,NA,0,0.03,0
0500072,Deer/Mt. Judea School District,1,1,1,2,0,0,0,0,0,2,0,101,1,1,0,0,2,96,2,0.02,0,0,NA,NA,0,0.02,0,2,2,0.01,0,0,NA,0,0,0.01,0.09
0500073,Ouachita River School District,2,2,1,17,0,0,1,0,0,15,1,404,14,3,9,0,2,367,10,0.04,0,0,0.11,NA,0,0.04,0.1,3,3,0.01,0.04,0,0,NA,0,0.01,0
0500076,Ozark Mountain School District,1,1,1,1,0,0,0,0,0,1,0,156,4,2,0,0,0,147,3,0.01,0,0,NA,NA,NA,0.01,0,3,3,0.01,0,0,NA,NA,0,0.01,0
0500079,Two Rivers School District,1,1,1,14,0,0,0,0,0,14,0,502,62,4,2,0,6,416,14,0.03,0,0,0,NA,0,0.03,0,2,2,0.02,0.02,0,0,NA,0,0.02,0
